Zone,mag1,mag2,mag3,mag4,mag5,mag6,mag7,mag8,mag9,mag10,mag11,mag12,mag13,mag14,mag15,mag16,mag17,mag18,mag19,mag20,mag21,mag22,mag23,mag24,mag25,mag26,mag27,mag28,mag29,mag30,mag31,mag32,mag33,mag34,mag35,mag36,mag37,mag38,mag39,mag40,mag41,mag42,mag43,mag44,mag45,mag46,mag47,mag48,mag49,mag50,mag51,mag52
1,15.26433752,15.26433752,15.26433752,16.64331698,14.4222051,14.4222051,14.4222051,13.60147051,13.60147051,12.20655562,13.03840481,13.03840481,12.20655562,11.66190379,11.66190379,11.18033989,11.18033989,10.29563014,11.18033989,11.18033989,10.29563014,9.848857802,9.848857802,10.77032961,10.77032961,9.848857802,9.848857802,9.848857802,10.77032961,9.486832981,9.848857802,8.246211251,8.94427191,8.94427191,8.94427191,8.062257748,8.062257748,7.211102551,7.211102551,6.708203932,5.830951895,5.830951895,5.830951895,5.830951895,5.830951895,4.472135955,5,5,5,5,5,4.242640687
1,15.8113883,14.56021978,15.5241747,14.86606875,14.86606875,13,13.60147051,12.64911064,13,12.64911064,12.64911064,12.64911064,12.64911064,12.36931688,11.40175425,12.16552506,11.18033989,11.18033989,11.18033989,11.18033989,10.19803903,11.18033989,10.19803903,11.04536102,11.18033989,10.04987562,10.04987562,10.19803903,10.04987562,10.04987562,9.219544457,9.848857802,9.219544457,9.219544457,9.219544457,8.246211251,8.246211251,7.280109889,7.280109889,7.280109889,7.280109889,6.08276253,6.32455532,6.08276253,5.099019514,5.099019514,5.385164807,5.385164807,5.385164807,5.385164807,5.385164807,4.472135955
1,15.23154621,15.23154621,14.31782106,15.23154621,13.92838828,13.92838828,13.92838828,13,13,12.08304597,13,12.08304597,12.08304597,12.08304597,12.08304597,11.18033989,11.66190379,10.29563014,11.18033989,11.18033989,11.18033989,11.18033989,10.29563014,10.81665383,10.81665383,10.81665383,10.81665383,10.29563014,11.18033989,10.29563014,10.29563014,9.219544457,9.848857802,9.848857802,9.848857802,8.544003745,8.544003745,8.544003745,7.615773106,7.615773106,7.280109889,7.280109889,6.32455532,6.32455532,6.32455532,6.32455532,6.32455532,6.08276253,6.08276253,6.08276253,6.08276253,6
1,13.60147051,13.60147051,13.60147051,13.92838828,12.64911064,12.64911064,12.64911064,11.70469991,11.70469991,10.44030651,11.70469991,11.40175425,11.40175425,10.44030651,10.44030651,10.19803903,10.19803903,9.219544457,10.19803903,10.19803903,10.19803903,10.04987562,9.055385138,10.04987562,10.04987562,10.04987562,10.04987562,10.04987562,10.04987562,9.055385138,10.19803903,10.29563014,9.219544457,9.219544457,8.246211251,7.280109889,8.246211251,7.280109889,7.280109889,7.280109889,6.32455532,6.32455532,6.32455532,6.32455532,5.385164807,5.385164807,5.385164807,5.385164807,4.472135955,4.472135955,5,4.242640687
1,14.86606875,13.92838828,13.92838828,14.86606875,13.60147051,12.64911064,12.64911064,12.64911064,12.64911064,11.70469991,11.70469991,11.70469991,11.70469991,11.18033989,10.77032961,11.18033989,10.29563014,10.29563014,10.29563014,10.29563014,10.29563014,10.29563014,9.433981132,10.81665383,10.81665383,10.81665383,10.81665383,10.81665383,10.81665383,10.81665383,10.29563014,13.45362405,10.29563014,9.848857802,9.848857802,8.94427191,8.94427191,8.544003745,7.615773106,7.615773106,7.280109889,7.280109889,6.32455532,6.32455532,6.32455532,6.32455532,6.08276253,5.099019514,5.099019514,5.099019514,5.099019514,5
1,14.03566885,14.03566885,13.15294644,14.03566885,13.03840481,13,13.03840481,12,12,11.04536102,12.04159458,11.04536102,11.04536102,10.19803903,10.04987562,11.18033989,10.19803903,10.19803903,9.219544457,10.19803903,9.219544457,9.486832981,9.486832981,9.848857802,10.44030651,9.848857802,9.486832981,10.77032961,10.77032961,10.77032961,9.486832981,6.708203932,9.486832981,9.219544457,9.219544457,9.219544457,9.219544457,8.062257748,8.062257748,8.062257748,8.062257748,7.071067812,7.071067812,7.071067812,7,6,6.08276253,6.08276253,6.08276253,6.08276253,6.08276253,5.099019514
1,14.86606875,13.92838828,13.92838828,13.92838828,13.92838828,12.64911064,13.92838828,12.64911064,12.64911064,12.64911064,12.64911064,12.08304597,11.70469991,12.08304597,10.77032961,11.66190379,10.81665383,10.81665383,10.29563014,10.81665383,10.29563014,10.81665383,10.81665383,10.81665383,11.40175425,11.40175425,10.63014581,11.40175425,11.40175425,12.04159458,10,9.055385138,10.81665383,10.81665383,10,10.81665383,10.81665383,9.433981132,9.433981132,8.602325267,9.433981132,8.062257748,8.062257748,8.062257748,8.062257748,7.211102551,7.615773106,6.708203932,7.615773106,6.32455532,6.32455532,6.08276253
1,13.60147051,13.60147051,13.60147051,14.56021978,13.60147051,12.64911064,13.60147051,12.64911064,13,11.70469991,12.64911064,12.36931688,11.70469991,11.40175425,11.40175425,11.40175425,11.18033989,10.19803903,11.18033989,11.18033989,10.19803903,10.19803903,10.04987562,11.04536102,11.04536102,10.04987562,10.04987562,10.04987562,11.04536102,10.04987562,10.04987562,10.04987562,10.04987562,10.04987562,10.04987562,9.055385138,9.055385138,9.219544457,8.246211251,8.246211251,8.246211251,8.246211251,8.246211251,8.246211251,7.280109889,7.280109889,6.32455532,6.32455532,6.708203932,6.708203932,6.708203932,5.830951895
1,14.31782106,13.34166406,14.31782106,14.31782106,14.31782106,12.36931688,13.34166406,12.36931688,12.64911064,12.36931688,12.36931688,12.36931688,12.36931688,11.18033989,11.40175425,11.18033989,11.18033989,11.18033989,10.19803903,11.18033989,10.19803903,10.04987562,10.04987562,10.04987562,10.04987562,10,10,10,10,10,10,10.04987562,10.04987562,9.055385138,9,9.055385138,9.055385138,9.055385138,8.062257748,8.062257748,8.062257748,8.062257748,8.062257748,7.071067812,7.071067812,7.071067812,6.32455532,6.32455532,6.32455532,6.32455532,6.708203932,5.830951895
1,14.03566885,14.03566885,14,15.03329638,14.03566885,14.03566885,14.03566885,13.03840481,13.03840481,12.16552506,13.15294644,12.04159458,12.16552506,12.04159458,12.16552506,11,11,10,11,11,10,10,9,10,10,10.04987562,10.04987562,10.04987562,10.04987562,9.055385138,9.055385138,12.04159458,9.055385138,9.055385138,9.055385138,8.062257748,9,8,8,8,8,8,7,7,7,7,7.071067812,7.071067812,6.08276253,6.08276253,6.32455532,5.385164807
